scrape_date,country,currency,name,brand,category,price_raw,bottle_size_raw,amazon_rating_raw,amazon_reviews_raw,amazon_title_raw,amazon_url,availability
2026-04-14,USA,USD,Hawas Ice,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Ice,in_stock
2026-04-14,USA,USD,Egra Men,Rasasi,arabic,$29.16,100ml,4.5 out of 5 stars,,Egra for Men EDP-100ml (3.4 oz) by RASASI,https://www.amazon.com/s?k=Rasasi+Egra+Men,in_stock
2026-04-14,USA,USD,Hawas Black,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Black,in_stock
2026-04-14,USA,USD,Hawas Elixir,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Elixir,in_stock
2026-04-14,USA,USD,Hawas Viper,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Viper,in_stock
2026-04-14,USA,USD,Royal Blend Bourbon,French Avenue,arabic,$47.00,100ml,4.1 out of 5 stars,,Royal Blend Bourbon EDP 100ml by French Avenue,https://www.amazon.com/s?k=French+Avenue+Royal+Blend+Bourbon,in_stock
2026-04-14,USA,USD,Vulcan Feu,French Avenue,arabic,$38.98,100ml,4.5 out of 5 stars,,French Avenue Vulcan Feu EDP 100ml,https://www.amazon.com/s?k=French+Avenue+Vulcan+Feu,in_stock
2026-04-14,USA,USD,Veneno,French Avenue,arabic,$49.99,100ml,4.4 out of 5 stars,,French Avenue Veneno EDP 100ml,https://www.amazon.com/s?k=French+Avenue+Veneno,in_stock
2026-04-14,USA,USD,Club de Nuit Intense Man,Armaf,arabic,$39.21,3.6 oz,4.5 out of 5 stars,,Club De Nuit Maleka by Armaf for Women - 3.6 oz EDP Spray,https://www.amazon.com/s?k=Armaf+Club+de+Nuit+Intense+Man,in_stock
2026-04-14,USA,USD,Club de Nuit Intense,Armaf,arabic,$32.69,3.6 oz,4.3 out of 5 stars,,Club De Nuit Intense by Armaf for Women - 3.6 oz EDP Spray,https://www.amazon.com/s?k=Armaf+Club+de+Nuit+Intense,in_stock
2026-04-14,USA,USD,Club de Nuit Milestone,Armaf,arabic,$39.21,3.6 oz,4.5 out of 5 stars,,Club De Nuit Maleka by Armaf for Women - 3.6 oz EDP Spray,https://www.amazon.com/s?k=Armaf+Club+de+Nuit+Milestone,in_stock
2026-04-14,USA,USD,Tres Nuit,Armaf,arabic,$21.63,3.4 oz,4.5 out of 5 stars,,Tres Nuit Pour Homme by Armaf for Men - 3.4 oz EDT Spray,https://www.amazon.com/s?k=Armaf+Tres+Nuit,in_stock
2026-04-14,USA,USD,Hunter Intense,Armaf,arabic,$25.29,3.4 oz,4.4 out of 5 stars,,Hunter Jungle by Armaf for Men - 3.4 oz EDP Spray,https://www.amazon.com/s?k=Armaf+Hunter+Intense,in_stock
2026-04-14,USA,USD,Legesi Homme,Armaf,arabic,$21.63,3.4 oz,4.5 out of 5 stars,,Tres Nuit Pour Homme by Armaf for Men - 3.4 oz EDT Spray,https://www.amazon.com/s?k=Armaf+Legesi+Homme,in_stock
2026-04-14,USA,USD,Amber Oud Gold Edition,Al Haramain,arabic,$46.32,2 oz,4.5 out of 5 stars,,Amber Oud - Gold Edition Extreme by Al Haramain for Unisex - 2 oz Extrait De Parfum Spray,https://www.amazon.com/s?k=Al+Haramain+Amber+Oud+Gold,in_stock
2026-04-14,USA,USD,L'Aventure,Al Haramain,arabic,$31.74,3.3 oz,4.3 out of 5 stars,,"L'aventure by Al Haramain Eau De Parfum Spray 3.3 oz, Femme White",https://www.amazon.com/s?k=Al+Haramain+L+Aventure,in_stock
2026-04-14,USA,USD,L'Aventure Knight,Al Haramain,arabic,$31.74,3.3 oz,4.3 out of 5 stars,,"L'aventure by Al Haramain Eau De Parfum Spray 3.3 oz, Femme White",https://www.amazon.com/s?k=Al+Haramain+L+Aventure+Knight,in_stock
2026-04-14,USA,USD,Detour Noir,Al Haramain,arabic,$28.39,3.33 oz,4.2 out of 5 stars,,Detour Noir Intense by Al Haramain for Unisex - 3.33 oz EDP Spray,https://www.amazon.com/s?k=Al+Haramain+Detour+Noir,in_stock
2026-04-14,UAE,AED,Sauvage,Dior,designer,AED389.00,100ml,4.5 out of 5 stars,,"Christian Dior Sauvage Eau De Toilette Spray For Men, 100ml",https://www.amazon.ae/s?k=Dior+Sauvage+100ml,in_stock
2026-04-14,UAE,AED,Sauvage Elixir,Dior,designer,AED338.00,60 Ml,4.6 out of 5 stars,,"Christian Dior Sauvage Men's Eau De Parfum, 60 Ml",https://www.amazon.ae/s?k=Dior+Sauvage+Elixir+100ml,in_stock
2026-04-14,UAE,AED,Sauvage EDP,Dior,designer,AED520.00,100 ml,3.4 out of 5 stars,,"Christian Dior Eau Sauvage for Men -100 ml, Eau De Parfum-",https://www.amazon.ae/s?k=Dior+Sauvage+Parfum+100ml,in_stock
