scrape_date,name,brand,category,fragrantica_url,year_raw,gender_raw,fragrance_family,rating_raw,votes_raw,top_notes_raw,middle_notes_raw,base_notes_raw,main_accords_raw,perfumers,votes_love_raw,votes_like_raw,votes_ok_raw,votes_dislike_raw,votes_hate_raw,season_spring_raw,season_summer_raw,season_fall_raw,season_winter_raw,wear_day_raw,wear_night_raw
2026-04-14,Opulent Oud,Lattafa,arabic,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Opulent-Oud-66012.html,2018,unisex,Oriental,4.02,"1,397","Saffron, Cinnamon","Agarwood (Oud), Rose","Agarwood (Oud), Amber, Cedarwood","oud, warm spicy, amber, rose, metallic, leather, cinnamon, woody","Perfumers, Perfumers",590,470,178,94,65,256.0,113.0,786.0,942.0,346.0,794.0
2026-04-14,Raghba Wood Intense,Lattafa,arabic,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Raghba-Wood-Intense-28713.html,2014,male,Oriental Woody,4.10,"2,049","Caramel, Licorice, Guaiac Wood, Cedar","Agarwood (Oud), Sugar, Sandalwood, Cashmere Wood","Incense, Vanilla, Amber, Oakmoss, Musk","woody, amber, sweet, balsamic, smoky, caramel, vanilla, oud, powdery, soft spicy","Perfumers, Perfumers",953,652,209,161,74,322.0,102.0,1100.0,1300.0,479.0,1100.0
2026-04-14,Haya,Lattafa,arabic,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Haya-85031.html,2022,female,,4.08,970,"Strawberry, Champagne, Tangerine, Blood Orange, Rose","Gardenia, Jasmine, Vanilla Orchid","Amber, Sandalwood, Chestnut","citrus, white floral, fruity, sweet, Champagne, aldehydic, floral, amber, lactonic, rose","Perfumers, Perfumers",369,384,156,50,11,465.0,451.0,171.0,117.0,473.0,140.0
2026-04-14,Vintage Radio,Lattafa,arabic,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Vintage-Radio-89454.html,2023,unisex,Oriental Woody,4.31,"3,589","Lavender, Sage, Bergamot","Plum, Palo Santo, Black Pepper","Sandalwood, Oud","woody, fruity, aromatic, fresh spicy, citrus, lavender, sweet, herbal, warm spicy, powdery","Perfumers, Perfumers",2000,971,330,201,65,2000.0,836.0,2200.0,2000.0,1800.0,1900.0
2026-04-14,Hawas for Him,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Hawas-for-Him-46890.html,2015,male,Aromatic Aquatic,4.32,"10,058","Apple, Bergamot, Lemon, Cinnamon","Watery Notes, Plum, Orange Blossom, Cardamon","Ambergris, Musk, Patchouli, Driftwood","fruity, citrus, aquatic, fresh, warm spicy, amber, sweet, musky, aromatic, animalic","Perfumers, Perfumers",5400,3100,919,408,172,6400.0,7500.0,2800.0,1400.0,6700.0,3100.0
2026-04-14,La Yuqawam Homme,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/La-Yuqawam-Homme-19668.html,2012,male,Oriental,4.40,"3,860","Raspberry, Saffron, Thyme","Olibanum, Jasmine, Artemisia","Leather, Suede, Woody Notes, Amber","leather, fruity, sweet, animalic, amber, woody, musky, warm spicy, smoky","Perfumers, Perfumers",2400,971,200,223,66,780.0,261.0,2100.0,2200.0,1100.0,2000.0
2026-04-14,Daarej pour Homme,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Daarej-pour-Homme-19688.html,,male,Oriental Spicy,4.13,"3,125","Cumin, Cardamom, Artemisia","Rose, Orris Root","Vanilla, Tonka Bean, Amber, Sandalwood, Patchouli, Musk","vanilla, warm spicy, powdery, amber, aromatic, fresh spicy, woody, sweet, rose, balsamic","Perfumers, Perfumers",1400,1000,328,229,79,1300.0,583.0,1700.0,1800.0,1300.0,1700.0
2026-04-14,Qasamat Mohraf,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Qasamat-Mohraf-Oud-Moattar-62547.html,2020,unisex,"fragrance for women and men. Qasamat Mohraf Oud Moattar was launched in 2020. Top notes are Raspberry, Lemon and Bergamot; middle notes are Rose, Geranium, Jasmine, White Flowers and Lily-of-the-Valley; base notes are Agarwood (Oud), Patchouli, Guaiac Wood, Amber, Vanilla, Sandalwood and Musk. ""Qasamat, is a series of four unisex",4.14,84,"Raspberry, Lemon, Bergamot","Rose, Geranium, Jasmine, White Flowers, Lily-of-the-Valley","Agarwood (Oud), Patchouli, Guaiac Wood, Amber, Vanilla, Sandalwood, Musk","rose, woody, oud, white floral, powdery, fresh spicy, patchouli, warm spicy, fruity, sweet","Perfumers, Perfumers",47,17,8,9,3,33.0,12.0,39.0,37.0,30.0,39.0
2026-04-14,Hawas Ice,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Hawas-Ice-89050.html,2023,male,Aromatic,4.43,"5,739","Apple, Italian Lemon, Sicilian Bergamot, Star Anise","Plum, Orange Blossom, Cardamon","Musk, Amber, Driftwood, Moss","fruity, citrus, sweet, fresh, aromatic, musky, powdery, fresh spicy, green, white floral","Perfumers, Perfumers",3500,1500,401,168,105,3800.0,4300.0,2100.0,1000.0,3900.0,1800.0
2026-04-14,Egra Men,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Egra-Men-19678.html,,male,Woody Aromatic,4.01,610,"Violet Leaf, Juniper Berries, Spruce, Grapefruit","Fir, Iris, Galbanum","Ambergris, Oakmoss, Sandalwood, Musk","woody, aromatic, fresh spicy, green, ozonic, powdery, amber, aquatic, iris, citrus","Perfumers, Perfumers",215,267,64,50,14,354.0,345.0,203.0,72.0,343.0,122.0
