bucket,n_products,mean_polarisation,examples
crowd_pleaser,30,0.587,"Amber Oud Gold Edition, Ambre Nuit, Armani Code Parfum, Aventus Cologne, Baraonda"
neutral,57,0.383,"1 Million, 1888, Acqua di Gio, Allure Homme Sport, Azzure Oud"
